Estado,Situação do Plano,Valor Disponível
ACRE,Autorizado,22463131.19
ALAGOAS,Autorizado,43923439.26
AMAZONAS,Autorizado,51714200.41
AMAPA,Autorizado,22697846.23
BAHIA,Autorizado,147842830.92
CEARA,Autorizado,95447562.86
DISTRITO FEDERAL,Autorizado,26049643.67
ESPIRITO SANTO,Autorizado,40760549.57
GOIAS,Autorizado,67765658.86
MARANHAO,Autorizado,81187997.9
MINAS GERAIS,Autorizado,181464788.88
MATO GROSSO DO SUL,Autorizado,27188069.93
MATO GROSSO,Autorizado,34963378.36
PARA,Autorizado,91735347.63
PARAIBA,Autorizado,48677436.9
PERNAMBUCO,Autorizado,100119951.83
PIAUI,Autorizado,42268211.53
PARANA,Autorizado,98068968.41
RIO DE JANEIRO,Autorizado,138977753.35
RIO GRANDE DO NORTE,Autorizado,39781876.7
RONDONIA,Autorizado,27215486.68
RORAIMA,Autorizado,19401177.57
RIO GRANDE DO SUL,Autorizado,90867561.47
SANTA CATARINA,Autorizado,59778610.16
SERGIPE,Autorizado,32759672.12
SAO PAULO,Autorizado,356253488.49
TOCANTINS,Autorizado,25525359.12
