UF,Município,Situação do Plano,Valor Disponível
GO,ABADIA DE GOIAS,Autorizado,91998.2
MG,ABADIA DOS DOURADOS,Autorizado,80462.76
GO,ABADIANIA,Autorizado,201707.93
MG,ABAETE,Autorizado,224781.56
PA,ABAETETUBA,Autorizado,1384998.03
CE,ABAIARA,Autorizado,126477.96
BA,ABAIRA,Autorizado,93274.13
BA,ABARE,Autorizado,208935.23
PR,ABATIA,Autorizado,84248.49
SC,ABDON BATISTA,Autorizado,44008.47
PA,ABEL FIGUEIREDO,Autorizado,76846.95
SC,ABELARDO LUZ,Autorizado,177696.63
MG,ABRE CAMPO,Autorizado,146091.6
PE,ABREU E LIMA,Autorizado,862428.79
TO,ABREULANDIA,Autorizado,42587.23
MG,ACAIACA,Autorizado,59495.75
MA,ACAILANDIA,Autorizado,933214.78
BA,ACAJUTIBA,Autorizado,160621.67
PA,ACARA,Autorizado,476494.56
CE,ACARAPE,Autorizado,159370.18
CE,ACARAU,Autorizado,571032.23
RN,ACARI,Autorizado,118836.9
PI,ACAUA,Autorizado,75591.19
RS,ACEGUA,Autorizado,63450.36
CE,ACOPIARA,Autorizado,498699.58
MT,ACORIZAL,Autorizado,61731.54
AC,ACRELANDIA,Autorizado,142471.73
GO,ACREUNA,Autorizado,214432.21
RN,ACU,Autorizado,522144.19
MG,ACUCENA,Autorizado,96033.92
SP,ADAMANTINA,Autorizado,323250.03
GO,ADELANDIA,Autorizado,45984.37
SP,ADOLFO,Autorizado,54463.89
PR,ADRIANOPOLIS,Autorizado,73422.12
BA,ADUSTINA,Autorizado,185488.48
PE,AFOGADOS DA INGAZEIRA,Autorizado,359025.11
RN,AFONSO BEZERRA,Autorizado,118268.92
ES,AFONSO CLAUDIO,Autorizado,290142.96
MA,AFONSO CUNHA,Autorizado,73132.8
PE,AFRANIO,Autorizado,204372.6
PA,AFUA,Autorizado,350385.99
PE,AGRESTINA,Autorizado,251795.24
PI,AGRICOLANDIA,Autorizado,61765.57
SC,AGROLANDIA,Autorizado,112576.75
SC,AGRONOMICA,Autorizado,65037.83
